Date,Time,Source IP Address,Destination IP Address,Source Port,Destination Port
29-Jan,03:14:54,192.168.17.24,192.168.9.51,138,138
29-Jan,03:14:54,192.168.17.24,192.168.10.60,138,138
29-Jan,03:14:54,192.168.17.24,192.168.9.51,138,138
29-Jan,03:14:54,192.168.17.24,192.168.10.60,138,138
29-Jan,03:18:12,192.168.17.24,192.168.9.51,138,138
29-Jan,03:18:12,192.168.17.24,192.168.10.60,138,138
29-Jan,03:18:12,192.168.17.24,192.168.9.51,138,138
29-Jan,03:18:12,192.168.17.24,192.168.10.60,138,138
29-Jan,03:21:09,192.168.17.24,192.168.9.51,138,138
29-Jan,03:21:09,192.168.17.24,192.168.10.60,138,138
29-Jan,03:21:09,192.168.17.24,192.168.9.51,138,138
29-Jan,03:21:09,192.168.17.24,192.168.10.60,138,138
29-Jan,03:24:08,192.168.17.24,192.168.9.51,138,138
29-Jan,03:24:08,192.168.17.24,192.168.10.60,138,138
29-Jan,03:24:08,192.168.17.24,192.168.9.51,138,138
29-Jan,03:24:08,192.168.17.24,192.168.10.60,138,138
29-Jan,03:27:08,192.168.17.24,192.168.9.51,138,138
29-Jan,03:27:08,192.168.17.24,192.168.10.60,138,138
29-Jan,03:27:08,192.168.17.24,192.168.9.51,138,138
29-Jan,03:27:08,192.168.17.24,192.168.10.60,138,138
29-Jan,03:30:20,192.168.17.24,192.168.9.51,138,138
29-Jan,03:30:20,192.168.17.24,192.168.10.60,138,138
29-Jan,03:30:20,192.168.17.24,192.168.9.51,138,138
29-Jan,03:30:20,192.168.17.24,192.168.10.60,138,138
29-Jan,03:33:25,192.168.17.24,192.168.9.51,138,138
29-Jan,03:33:25,192.168.17.24,192.168.10.60,138,138
29-Jan,03:33:25,192.168.17.24,192.168.9.51,138,138
29-Jan,03:33:25,192.168.17.24,192.168.10.60,138,138
29-Jan,03:36:20,192.168.17.24,192.168.9.51,138,138
29-Jan,03:36:20,192.168.17.24,192.168.10.60,138,138
29-Jan,03:36:20,192.168.17.24,192.168.9.51,138,138
29-Jan,03:36:20,192.168.17.24,192.168.10.60,138,138
29-Jan,03:39:21,192.168.17.24,192.168.9.51,138,138
29-Jan,03:39:21,192.168.17.24,192.168.10.60,138,138
29-Jan,03:39:21,192.168.17.24,192.168.9.51,138,138
29-Jan,03:39:21,192.168.17.24,192.168.10.60,138,138
29-Jan,03:42:30,192.168.17.24,192.168.9.51,138,138
29-Jan,03:42:30,192.168.17.24,192.168.10.60,138,138
29-Jan,03:42:30,192.168.17.24,192.168.9.51,138,138
29-Jan,03:42:30,192.168.17.24,192.168.10.60,138,138
29-Jan,03:45:34,192.168.17.24,192.168.9.51,138,138
29-Jan,03:45:34,192.168.17.24,192.168.10.60,138,138
29-Jan,03:45:34,192.168.17.24,192.168.9.51,138,138
29-Jan,03:45:34,192.168.17.24,192.168.10.60,138,138
29-Jan,03:48:34,192.168.17.24,192.168.9.51,138,138
29-Jan,03:48:34,192.168.17.24,192.168.10.60,138,138
29-Jan,03:48:34,192.168.17.24,192.168.9.51,138,138
29-Jan,03:48:34,192.168.17.24,192.168.10.60,138,138
29-Jan,03:51:29,192.168.17.24,192.168.9.51,138,138
29-Jan,03:51:29,192.168.17.24,192.168.10.60,138,138
29-Jan,03:51:29,192.168.17.24,192.168.9.51,138,138
29-Jan,03:51:29,192.168.17.24,192.168.10.60,138,138
29-Jan,03:54:28,192.168.17.24,192.168.9.51,138,138
29-Jan,03:54:28,192.168.17.24,192.168.10.60,138,138
29-Jan,03:54:28,192.168.17.24,192.168.9.51,138,138
29-Jan,03:54:28,192.168.17.24,192.168.10.60,138,138
29-Jan,03:57:38,192.168.17.24,192.168.9.51,138,138
29-Jan,03:57:38,192.168.17.24,192.168.10.60,138,138
29-Jan,03:57:38,192.168.17.24,192.168.9.51,138,138
